x,y,vx,vy,objet_raquette_2
667,107,15,-15,190
682,92,15,-15,190
697,107,15,15,200
712,122,15,15,200
727,137,15,15,200
742,152,15,15,200
757,167,15,15,210
772,182,15,15,210
787,197,15,15,210
802,212,15,15,220
817,227,15,15,220
832,242,15,15,220
847,257,15,15,220
862,272,15,15,230
877,287,15,15,230
892,302,15,15,230
907,317,15,15,240
922,332,15,15,240
907,347,-15,15,240
892,362,-15,15,250
877,377,-15,15,250
862,392,-15,15,250
847,407,-15,15,250
832,422,-15,15,250
817,437,-15,15,250
802,452,-15,15,250
787,467,-15,15,250
772,482,-15,15,250
757,467,-15,-15,250
742,452,-15,-15,250
727,437,-15,-15,250
712,422,-15,-15,250
697,407,-15,-15,250
682,392,-15,-15,250
667,377,-15,-15,250
652,362,-15,-15,250
637,347,-15,-15,250
622,332,-15,-15,250
607,317,-15,-15,250
592,302,-15,-15,250
577,287,-15,-15,250
562,272,-15,-15,250
547,257,-15,-15,250
532,242,-15,-15,250
517,227,-15,-15,250
502,212,-15,-15,250
487,197,-15,-15,250
472,182,-15,-15,250
457,167,-15,-15,250
442,152,-15,-15,250
427,137,-15,-15,250
412,122,-15,-15,250
397,107,-15,-15,250
382,92,-15,-15,250
367,107,-15,15,250
352,122,-15,15,250
337,137,-15,15,250
322,152,-15,15,250
307,167,-15,15,250
292,182,-15,15,250
277,197,-15,15,250
262,212,-15,15,250
247,227,-15,15,250
232,242,-15,15,250
217,257,-15,15,250
202,272,-15,15,250
187,287,-15,15,250
172,302,-15,15,250
157,317,-15,15,250
142,332,-15,15,250
127,347,-15,15,250
112,362,-15,15,250
97,377,-15,15,250
82,392,-15,15,250
67,407,-15,15,250
52,422,-15,15,250
37,437,-15,15,250
22,452,-15,15,250
7,467,-15,15,250
-8,482,-15,15,250
-23,467,-15,-15,250
-38,452,-15,-15,250
472,272,-15,-15,250
457,257,-15,-15,250
442,242,-15,-15,250
427,227,-15,-15,250
412,212,-15,-15,250
397,197,-15,-15,250
382,182,-15,-15,250
367,167,-15,-15,250
352,152,-15,-15,250
337,137,-15,-15,250
322,122,-15,-15,250
307,107,-15,-15,250
292,92,-15,-15,250
277,107,-15,15,250
262,122,-15,15,250
247,137,-15,15,250
232,152,-15,15,250
217,167,-15,15,250
202,182,-15,15,250
187,197,-15,15,250
172,212,-15,15,250
157,227,-15,15,250
142,242,-15,15,250
127,257,-15,15,250
112,272,-15,15,250
97,287,-15,15,250
82,302,-15,15,250
67,317,-15,15,250
52,332,-15,15,250
67,347,15,15,250
82,362,15,15,250
97,377,15,15,250
112,392,15,15,250
127,407,15,15,250
142,422,15,15,250
157,437,15,15,250
172,452,15,15,250
187,467,15,15,250
202,482,15,15,250
217,467,15,-15,250
232,452,15,-15,250
247,437,15,-15,250
262,422,15,-15,250
277,407,15,-15,250
292,392,15,-15,240
307,377,15,-15,240
322,362,15,-15,240
337,347,15,-15,240
352,332,15,-15,230
367,317,15,-15,230
382,302,15,-15,230
397,287,15,-15,230
412,272,15,-15,220
427,257,15,-15,220
442,242,15,-15,220
457,227,15,-15,220
472,212,15,-15,210
487,197,15,-15,210
502,182,15,-15,210
517,167,15,-15,210
532,152,15,-15,210
547,137,15,-15,210
562,122,15,-15,210
577,107,15,-15,210
592,92,15,-15,210
607,107,15,15,210
622,122,15,15,210
637,137,15,15,210
652,152,15,15,220
667,167,15,15,220
682,182,15,15,220
697,197,15,15,220
712,212,15,15,230
727,227,15,15,230
742,242,15,15,230
757,257,15,15,230
772,272,15,15,240
787,287,15,15,240
802,302,15,15,250
817,317,15,15,250
832,332,15,15,260
847,347,15,15,260
862,362,15,15,260
877,377,15,15,270
892,392,15,15,270
907,407,15,15,270
922,422,15,15,280
937,437,15,15,280
952,452,15,15,280
967,467,15,15,280
982,482,15,15,290
997,467,15,-15,290
1012,452,15,-15,290
502,272,15,-15,300
517,257,15,-15,300
532,242,15,-15,300
547,227,15,-15,300
562,212,15,-15,300
577,197,15,-15,300
592,182,15,-15,300
607,167,15,-15,300
622,152,15,-15,300
637,137,15,-15,300
652,122,15,-15,300
667,107,15,-15,300
682,92,15,-15,300
697,107,15,15,300
712,122,15,15,300
727,137,15,15,300
742,152,15,15,300
757,167,15,15,300
772,182,15,15,300
787,197,15,15,300
802,212,15,15,290
817,227,15,15,290
832,242,15,15,290
847,257,15,15,290
862,272,15,15,290
877,287,15,15,290
892,302,15,15,290
907,317,15,15,290
922,332,15,15,290
907,347,-15,15,290
892,362,-15,15,290
877,377,-15,15,290
862,392,-15,15,290
847,407,-15,15,290
832,422,-15,15,290
817,437,-15,15,290
802,452,-15,15,290
787,467,-15,15,290
772,482,-15,15,290
757,467,-15,-15,290
742,452,-15,-15,290
727,437,-15,-15,290
712,422,-15,-15,290
697,407,-15,-15,290
682,392,-15,-15,290
667,377,-15,-15,290
652,362,-15,-15,290
637,347,-15,-15,290
622,332,-15,-15,290
607,317,-15,-15,290
592,302,-15,-15,290
577,287,-15,-15,290
562,272,-15,-15,290
547,257,-15,-15,290
532,242,-15,-15,290
517,227,-15,-15,290
502,212,-15,-15,290
487,197,-15,-15,290
472,182,-15,-15,290
457,167,-15,-15,290
442,152,-15,-15,290
427,137,-15,-15,290
412,122,-15,-15,290
397,107,-15,-15,290
382,92,-15,-15,290
367,107,-15,15,290
352,122,-15,15,290
337,137,-15,15,290
322,152,-15,15,290
307,167,-15,15,290
292,182,-15,15,290
277,197,-15,15,290
262,212,-15,15,290
247,227,-15,15,290
232,242,-15,15,290
217,257,-15,15,290
202,272,-15,15,290
187,287,-15,15,290
172,302,-15,15,290
157,317,-15,15,290
142,332,-15,15,290
127,347,-15,15,290
112,362,-15,15,290
97,377,-15,15,290
82,392,-15,15,290
67,407,-15,15,290
52,422,-15,15,290
67,437,15,15,290
82,452,15,15,290
97,467,15,15,290
112,482,15,15,290
127,467,15,-15,290
142,452,15,-15,290
157,437,15,-15,290
172,422,15,-15,290
187,407,15,-15,290
202,392,15,-15,290
217,377,15,-15,290
232,362,15,-15,290
247,347,15,-15,290
262,332,15,-15,290
277,317,15,-15,280
292,302,15,-15,280
307,287,15,-15,280
322,272,15,-15,280
337,257,15,-15,280
352,242,15,-15,270
367,227,15,-15,270
382,212,15,-15,270
397,197,15,-15,270
412,182,15,-15,270
427,167,15,-15,270
442,152,15,-15,270
457,137,15,-15,270
472,122,15,-15,270
487,107,15,-15,270
502,92,15,-15,270
517,107,15,15,270
532,122,15,15,280
547,137,15,15,280
562,152,15,15,280
577,167,15,15,290
592,182,15,15,290
607,197,15,15,290
622,212,15,15,290
637,227,15,15,300
652,242,15,15,300
